"date","mean_temp","year"
2012-06-25,19.8,"2012"
2012-06-26,21.3,"2012"
2012-06-27,16.3,"2012"
2012-06-28,14.4,"2012"
2012-06-29,16.4,"2012"
2012-06-30,17.5,"2012"
2012-07-01,18.4,"2012"
2012-07-02,15.6,"2012"
2012-07-03,17.9,"2012"
2012-07-04,16.6,"2012"
2012-07-05,18.5,"2012"
2012-07-06,18.9,"2012"
2012-07-07,20,"2012"
2012-07-08,21.4,"2012"
2012-07-09,24.4,"2012"
2012-07-10,25.2,"2012"
2012-07-11,20.7,"2012"
2012-07-12,17,"2012"
2012-07-13,17.4,"2012"
2012-07-14,18.9,"2012"
2012-07-15,19.5,"2012"
2012-07-16,18.1,"2012"
2012-07-17,19.9,"2012"
2012-07-18,17.2,"2012"
2012-07-19,19,"2012"
2012-07-20,19.4,"2012"
2012-07-21,20.3,"2012"
2012-07-22,20,"2012"
2012-07-23,21.9,"2012"
2012-07-24,21.2,"2012"
2012-07-25,19.9,"2012"
2012-07-26,19.8,"2012"
2012-07-27,17.2,"2012"
2012-07-28,18.2,"2012"
2012-07-29,18.8,"2012"
2012-07-30,19.7,"2012"
2012-07-31,20,"2012"
2012-08-01,18.9,"2012"
2012-08-02,19,"2012"
2012-08-03,17.5,"2012"
2012-08-04,15.7,"2012"
2012-08-05,12.4,"2012"
2012-08-06,15.6,"2012"
2012-08-07,15.5,"2012"
2012-08-08,20.4,"2012"
2012-08-09,20.2,"2012"
2012-08-10,17.5,"2012"
2012-08-11,15.5,"2012"
2012-08-12,15.1,"2012"
2012-08-13,13.3,"2012"
2012-08-14,12.9,"2012"
2012-08-15,12.9,"2012"
2012-08-16,14.1,"2012"
2012-08-17,17.3,"2012"
2012-08-18,19.2,"2012"
2012-08-19,17.4,"2012"
2012-08-20,19.3,"2012"
2012-08-21,18.2,"2012"
2012-08-22,19.1,"2012"
2012-08-23,18.6,"2012"
2012-08-24,16.9,"2012"
2012-08-25,13.4,"2012"
2012-08-26,15.6,"2012"
2012-08-27,15.6,"2012"
2012-08-28,18.6,"2012"
2012-08-29,15.4,"2012"
2012-08-30,13.1,"2012"
2012-08-31,11.4,"2012"
2012-09-01,15.3,"2012"
2012-09-02,16,"2012"
2012-09-03,14.3,"2012"
2012-09-04,14.7,"2012"
2012-09-05,13.3,"2012"
2012-09-06,17.4,"2012"
2012-09-07,13.7,"2012"
2012-09-08,14.6,"2012"
2012-09-09,13.5,"2012"
2012-09-10,12.9,"2012"
2012-09-11,8,"2012"
2012-09-12,5,"2012"
2012-09-13,8,"2012"
2012-09-14,5.7,"2012"
2012-09-15,5.4,"2012"
2012-09-16,7.8,"2012"
2012-09-17,10.6,"2012"
2012-09-18,11.8,"2012"
